Query_Filename,Query_ID,Query_Sentence,Claim_Filename,Claim_ID,Claim_Sentence,Redundant_or_Independent,Score
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_2,One of the most common themes in misleading posts surrounding the use of masks is that they limit the amount of oxygen getting into the body,Related,0.59
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_5,"Moisture retention, reuse of cloth masks and poor filtration may result in increased risk of infection... cloth masks should not be recommended ... particularly in high-risk situations",Related,0.58
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_14,"In short, wearing a mask may actually increase your risk of infections",Related,0.59
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_1,face masks are ineffective,Related,0.58
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_5,"masks aren’t very effective, I think some people should still wear them, but they may cause other problems such as respiratory infections",Related,0.59
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,Author claims masks do not trap germs,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6,Claim: Masks harm the immune system,Related,0.7
CLL0C049H93.000004.ttl,claim-CLL0C049H93.000004,Oh Myoung Don claims people who have recovered from COVID-19 cannot catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PIA_0,"Fact: The COVID-19 pandemic concerns everyone, because people of any age can be infected with the virus that causes it",Related,0.6
CLL0C049OUI.000004.ttl,claim-CLL0C049OUI.000004,Author claims Chinese food cannot transmit COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJN_0,the insects can transmit COVID-19,Related,0.6
CLL0C049OUI.000004.ttl,claim-CLL0C049OUI.000004,Author claims Chinese food cannot transmit COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATL7_3,the contamination of COVID-19 through frozen food could potentially be a source of transmission,Related,0.71
CLL0C04AHSK.000004.ttl,claim-CLL0C04AHSK.000004,Dr. Jen Caudle claims black people can catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATIV_0,black people cannot get coronavirus,Related,0.6
CLL0C04AHSK.000004.ttl,claim-CLL0C04AHSK.000004,Dr. Jen Caudle claims black people can catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATIV_0,black people cannot get coronavirus,Related,0.6
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,Author claims some children cannot catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PIA_0,"Fact: The COVID-19 pandemic concerns everyone, because people of any age can be infected with the virus that causes it",Related,0.64
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,Author claims some children cannot catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PHW_6,There have been a few reports of cats and dogs that became infected with COVID-19 after contact with their sick owner,Related,0.58
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,Author claims some children cannot catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ4_2,coronavirus can infect and has infected children and even toddlers but it doesn’t make them very sick,Related,0.61
CLL0C04AI2Q.000004.ttl,claim-CLL0C04AI2Q.000004,Tess Gannaway claims women can catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ6_0,"men are more susceptible than women to SARS-CoV, the virus that causes COVID-19",Related,0.59
CLL0C04AI2Q.000004.ttl,claim-CLL0C04AI2Q.000004,Tess Gannaway claims women can catch COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ7_5,women may be at higher risk losing their jobs or of contracting COVID-19 as a result of the pandemic,Related,0.59
CLL0C04AJ15.000004.ttl,claim-CLL0C04AJ15.000004,National Pest Management Association claims vector pests cannot transmit COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJN_0,the insects can transmit COVID-19,Related,0.75
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,Author claims the first cases of COVID-19 occurred in Wuhan,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04958D_0,"A previously unknown variant of coronavirus that appeared in the Chinese city of Wuhan in December 2019 has already infected thousands of people, with cases confirmed in at least 20 ",Related,0.69
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,Author claims the first cases of COVID-19 occurred in Wuhan,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PGQ_3,the Wuhan market was initially suspected to be the epicenter of the epidemic,Related,0.58
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,Author claims the first cases of COVID-19 occurred in Wuhan,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATGD_0,covid-19 could become a disease first encountered in early childhood,Related,0.62
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,Author claims the first cases of COVID-19 occurred in Wuhan,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA9W_2,the market in Wuhan linked to the first several dozens of coronavirus cases ,Related,0.71
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,Author claims the first cases of COVID-19 occurred in Wuhan,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA25_0,COVID-19 suggests the new coronavirus ,Related,0.61
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJY_0,This recent development has fast-tracked the recent requirement for wearing masks while indoors,Related,0.73
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3R_2,wearing masks in public was already commonplace,Related,0.68
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATQR_0,"Hello, - Masks are mandatory only in shops",Related,0.62
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_10,Boulder County also updated its order to continue requiring masks for everyone older than 10 in indoor public spaces,Related,0.59
