Query_Filename,Query_ID,Claim_Filename,Claim_ID
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_2
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_5
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_14
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_1
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_5
CLL0C04979A.000004.ttl,claim-CLL0C04979A.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6
CLL0C049H93.000004.ttl,claim-CLL0C049H93.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PIA_0
CLL0C049OUI.000004.ttl,claim-CLL0C049OUI.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJN_0
CLL0C049OUI.000004.ttl,claim-CLL0C049OUI.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATL7_3
CLL0C04AHSK.000004.ttl,claim-CLL0C04AHSK.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATIV_0
CLL0C04AHSK.000004.ttl,claim-CLL0C04AHSK.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATIV_0
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PIA_0
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PHW_6
CLL0C04AHYZ.000004.ttl,claim-CLL0C04AHYZ.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ4_2
CLL0C04AI2Q.000004.ttl,claim-CLL0C04AI2Q.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ6_0
CLL0C04AI2Q.000004.ttl,claim-CLL0C04AI2Q.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJ7_5
CLL0C04AJ15.000004.ttl,claim-CLL0C04AJ15.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJN_0
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04958D_0
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PGQ_3
CLL0C04AR98.000004.ttl,claim-CLL0C04AR98.000004,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATGD_0
